Pitch_Filtrado:40.52   Pitch_Bruto:38.25
Pitch_Filtrado:41.10   Pitch_Bruto:39.86
Pitch_Filtrado:41.71   Pitch_Bruto:41.43
Pitch_Filtrado:42.30   Pitch_Bruto:42.57
Pitch_Filtrado:42.84   Pitch_Bruto:43.13
Pitch_Filtrado:43.32   Pitch_Bruto:42.55
Pitch_Filtrado:43.77   Pitch_Bruto:42.47
Pitch_Filtrado:44.22   Pitch_Bruto:42.61
Pitch_Filtrado:44.70   Pitch_Bruto:43.13
Pitch_Filtrado:45.21   Pitch_Bruto:43.62
Pitch_Filtrado:45.77   Pitch_Bruto:44.25
Pitch_Filtrado:46.38   Pitch_Bruto:45.66
Pitch_Filtrado:47.02   Pitch_Bruto:46.70
Pitch_Filtrado:47.69   Pitch_Bruto:47.61
Pitch_Filtrado:48.38   Pitch_Bruto:48.92
Pitch_Filtrado:49.06   Pitch_Bruto:50.04
Pitch_Filtrado:49.69   Pitch_Bruto:50.45
Pitch_Filtrado:50.28   Pitch_Bruto:50.77
Pitch_Filtrado:50.85   Pitch_Bruto:51.40
Pitch_Filtrado:51.41   Pitch_Bruto:52.29
Pitch_Filtrado:51.98   Pitch_Bruto:53.61
Pitch_Filtrado:52.52   Pitch_Bruto:55.19
Pitch_Filtrado:53.01   Pitch_Bruto:56.67
Pitch_Filtrado:53.39   Pitch_Bruto:58.43
Pitch_Filtrado:53.57   Pitch_Bruto:58.97
Pitch_Filtrado:53.51   Pitch_Bruto:59.01
Pitch_Filtrado:53.20   Pitch_Bruto:58.87
Pitch_Filtrado:52.47   Pitch_Bruto:58.16
Pitch_Filtrado:51.49   Pitch_Bruto:57.54
Pitch_Filtrado:50.27   Pitch_Bruto:56.09
Pitch_Filtrado:48.83   Pitch_Bruto:54.61
Pitch_Filtrado:47.17   Pitch_Bruto:52.30
Pitch_Filtrado:45.33   Pitch_Bruto:49.56
Pitch_Filtrado:43.36   Pitch_Bruto:46.55
Pitch_Filtrado:41.25   Pitch_Bruto:43.39
Pitch_Filtrado:39.13   Pitch_Bruto:39.43
Pitch_Filtrado:37.02   Pitch_Bruto:37.11
Pitch_Filtrado:34.95   Pitch_Bruto:35.20
Pitch_Filtrado:32.91   Pitch_Bruto:32.97
